source,page,year_of_occurrence,village_in_source,village,latitude,longitude,spontaneous/ formullaic,mari,translation_Russian,translation_German,translation_Latin,mari_marker,copula / retrospective marker,use,modal / non-modal,complement,semantics,modality type (vAP),modality type (descriptive categories),negation,question (true question),overt subject (who needs/ has to/ can),case of overt subject (who needs/ has to/ can),animacy,counted in corpus,counted in subcorpus,(im)personality
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,tištäken kid don cilä salə̑mla ə̑də̑rə̑mə̑la avartə̑mə̑la kapnavläm imn'i don šə̑pštennä,"Здесь всё вручную: косить, сгребать, ворошить надо, копны возили на лошадях",NA,NA,mə̑la,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,kogon trutə̑m pištäš keleš ə̑lə̑n trutə̑m pištə̈mə̈lä ,"Большой труд надо было внести, труд вложить",NA,NA,keläš,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,kogon trutə̑m pištäš keleš ə̑lə̑n trutə̑m pištə̈mə̈lä ,"Большой труд надо было внести, труд вложить",NA,NA,mə̑la,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,kid dono sarla don tə̈retmə̈lä änkävläm puat ,"Руками серпом надо жать, участки дают.",NA,NA,mə̑la,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,tə̈də̈m kə̈ltevläm ə̈štet aralet vara cilä ikväreš namalaš keleš,"Снопы делаешь, складываешь в копны, потом надо сложить все вместе.",NA,NA,keläš,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"sotemmə̈ žerä godə̑mok kə̈n'ə̈lätät , kečə̈ mə̑čkə̑ šalget vadeš tožə̑ kečə̈ šə̈cmeš vadə̑ jakte rovotajə̑mla .","Вставали на заре и стояли целый день, а вечером тоже до захода солнца, надо работать до вечера.",NA,NA,mə̑la,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,šudə̑ košken də̑k tə̈də̈m ə̑də̑raš keleš aralaš keleš .,"Если сено высохло, надо его сгребать, надо метать стога.",NA,NA,keläš,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,jalə̑m pitmə̈lä ə̑l'ə̑ .,Надо было обувать ноги.,NA,NA,mə̑la,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,šudə̑ košken də̑k tə̈də̈m ə̑də̑raš keleš aralaš keleš .,"Если сено высохло, надо его сгребать, надо метать стога.",NA,NA,keläš,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,eče irok keäš keleš,Опять с утра надо было идти.,NA,NA,keläš,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,""" Вот tenge texen' čista liäš keleš "", - maneš .","""Вот таким чистым надо быть"", - говорит.",NA,NA,keläš,,predicate,modal,V,necessity,deontic,deontic,0,no,no,no,animal,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,xanga mə̑čaškə̑žə̑ pištə̈mə̈lä luat kok pandə̑m .,На конец доски надо положить 12 палочек.,NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,impersonal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,ə̈də̈räšə̈žə̈m iziš pakə̑rak kn'igäetšə̈m pakə̑rak šə̈kälmə̈lä iziš .,Девочку и книгу чуть подальше надо отодвинуть.,NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,experiment (ref_com),0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"a ške ə̈rvezäšə̈žə̈ läktə̈n keä , ubiräjen šumə̑la tə̈ ə̈rvezäšə̈m .","А сам парень выходит, надо убрать того парня.",NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,experiment (ref_com),0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,iziš ak m ... iziš šə̈kälmə̈lä ma dokə̑la .,Немного не... немного надо толкнуть к чему там.,NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,experiment (ref_com),0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,stöl jal tervenok šə̈ndə̈mə̈lä ma ?.,Надо поставить возле ножки стола что ли?,NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,experiment (ref_com),0,yes,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,stöl jal tervenok šə̈ndə̈mə̈lä .,Надо поставить возле ножки стола.,NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,experiment (ref_com),0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"lə̈väk kerə̈l koltə̑mə̑la , aga .","Вниз надо засунуть, ага.",NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,experiment (ref_com),0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,namal läkmə̈lä ved kändäkš k'ilom'etə̈rə̈m ... kändäkš uštə̑š .,Надо пронести ведь восемь километров.,NA,NA,mə̑la,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"cilä l'im'itə̈m dobyvajaš keleš , škeät kaštat , tə̈štə̈ moskva mə̑čkə̑ a между прочим moskv'ičvläžə̈ ... nu kə̈zə̈t tožə̑ vz'atə̑čn'ikvlä ə̑lə̑t vet .","Всё лимит добывать надо, сама ходишь, там по Москве, а между прочим москвичи... ну сейчас ведь они тоже взяточники.",NA,NA,keläš,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"kolə̑m šə̑pšten kejet , iktämaxan' voprosə̑m rešäš keleš .","Рыбу привезешь, если надо решить какой-нибудь вопрос.",NA,NA,keläš,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"vot kə̈zə̈t iktə̈länät n'imat ak kel , vlast'lan ak kel , kə̈zə̈t tə̈näm xot' kə̑ce используешь , не используешь - никого не колышет .","Вот сейчас никому ничего не надо, власти не надо, сейчас тогда хоть как используешь, не используешь - никого не колышет.",NA,NA,keläš,,predicate,non-modal,N,need,NA,NA,1,no,yes,dat,,not counted,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"vot kə̈zə̈t iktə̈länät n'imat ak kel , vlast'lan ak kel , kə̈zə̈t tə̈näm xot' kə̑ce используешь , не используешь - никого не колышет .","Вот сейчас никому ничего не надо, власти не надо, сейчас тогда хоть как используешь, не используешь - никого не колышет.",NA,NA,keläš,,predicate,non-modal,N,need,NA,NA,1,no,yes,dat,,not counted,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"oj , mä piš kogon və̑čennä ti kečə̈m , no ə̑škaletšə̈m orolaš fs'o ravno keleš ","Ой, мы очень ждали этот день, но корову-то всё равно надо пасти.",NA,NA,keläš,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"tak , ma keleš ?.","Так, что надо?",NA,NA,keläš,,predicate,non-modal,N,need,NA,NA,0,yes,no,no,,not counted,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"fs'o , bol'šə̑ n'imat ak kel ","Все, больше ничего не надо.",NA,NA,keläš,,predicate,non-modal,N,need,NA,NA,1,no,no,no,,not counted,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"bol'šə̑ n'imat ak kel , davaj eče iktamam ?.","Больше ничего не надо, давай еще что-нибудь?",NA,NA,keläš,,predicate,non-modal,N,need,NA,NA,1,no,no,no,,not counted,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,bol'šə̑ n'imatok ak kel ma ?.,"Больше совсем ничего не надо, что ли?",NA,NA,keläš,,predicate,non-modal,N,need,NA,NA,1,yes,no,no,,not counted,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"šans dokə̑la aškedə̈dä , vara uže asval't mə̑čkə̑ aškedmə̈kə̈ , šans docə̑n vurgə̑mlaškə̑ sär … särnälmə̈lä ","К магазину ""Шанс"" идете, потом уже идя по асфальту, возле ""Шанса"" надо повернуть направо.",NA,NA,mə̑la,,predicate,modal,V,necessity,external,instruction (way),0,no,no,no,hum,present-day,way descriptions,impersonal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"a vara uže t'ə̑mansola šajə̑kə̑ kornə̑ mə̑čkə̑ valen kemə̈lä , t'ə̑mansola šajə̑cə̑n kornə̑ mə̑č aškedät , karemə̈š valet .","А потом уже за Тюманово надо спуститься по тропинке, за Тюманово по тропинке идешь, спускаешься в овраг.",NA,NA,mə̑la,,predicate,modal,V,necessity,external,instruction (way),0,no,no,no,hum,present-day,way descriptions,impersonal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,škol gə̈c läkmə̈kə̈ ... läkmə̈kə̈ dä magaz'in mongə̑rə̑škə̑la aškedmə̈lä .,"Выйдя из школы, надо идти в сторону магазина.",NA,NA,mə̑la,,predicate,modal,V,necessity,external,instruction (way),0,no,no,no,hum,present-day,way descriptions,impersonal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,tidə̈ gišän [ нрзб ] istor'ištə̈ anžalaš keleš .,Об этом надо посмотреть в истории.,NA,NA,keläš,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,kə̈čälmə̈lä.,Надо поискать,NA,NA,mə̑la,,predicate,modal,V,necessity,external,intention,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"štobə̑ käčäjäš ti leväšvläm , šə̈štə̈ leväšvläm pə̈čmə̈lä .","Чтобы качать, эти крышечки, восковые крышечки надо срезать.",NA,NA,mə̑la,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,i медогонка dono jämdə̈ müm käčäjə̈mə̈lä ,И медогонкой надо качать готовый мед.,NA,NA,mə̑la,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"eče kə̑nam semn'ä kogoemeš , uže ul'aštə̑ jängə̈sə̈r , škeok pälät , što keleš ik part'ə̑ mükšlän läktə̈n keäš .","Еще когда увеличивается семья, уже теснота в улье, сами знают, что одной партии пчёл надо улететь.",NA,NA,keläš,,predicate,modal,V,necessity,external,external,0,no,yes,dat,animal_group,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,ə̑gə̑ršə̑m ... rojə̑m koltaš keleš .,Рой... рой надо отпустить.,NA,NA,keläš,,predicate,modal,V,necessity,external,external,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,tengelä tə̈rgə̈mə̈ godə̑m šə̈kälmə̈lä ti kons'ervə̈ ätə̈žə̈m il'i tə̈štə̈ maxan' ätə̈m .,"Когда так прыгаешь, надо толкать эту консервную банку или какую там посудину.",NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,impersonal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"tə̈rgə̈m-ciklä madmə̑ godə̑m , ik krügäm ə̈štet , vara mam ə̈štə̈mlä ə̑l'ə̑ toko - jesl'i cilä vaštok läktə̈n kerdə̈nät , šajə̑kə̑la šagalə̑n vara tə̈ ätetə̈m pulə̑š gač šuen koltet dä čučaš keleš iktä kl'etkäškə̈ .","Когда играешь в классики, сделаешь один круг, потом это надо делать было, видимо – если все насквозь пройти смогла, став
назад [спиной], эту посудинку через плечо бросаешь и надо попасть в какую-нибудь клетку.",NA,NA,keläš,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,impersonal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"ma käčäjälteš manmə̑la marla , marla ?","Что, слово ""качается"" надо назвать по-марийски?",NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,deontic (game rules),0,yes,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"agə̑l , mam ə̈štə̈mə̈lä tə̈də̈m ?","Нет, что с ним надо делать?",NA,NA,mə̑la,,predicate,modal,V,necessity,external,shlyapa,0,yes,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"seväl koltə̑mə̑la , pokten koltə̑mə̑la .","Прихлопнуть надо, отогнать.",NA,NA,mə̑la,,predicate,modal,V,necessity,external,shlyapa,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"seväl koltə̑mə̑la , pokten koltə̑mə̑la .","Прихлопнуть надо, отогнать.",NA,NA,mə̑la,,predicate,modal,V,necessity,external,shlyapa,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,sevälmə̈lä ,Надо прихлопнуть.,NA,NA,mə̑la,,predicate,modal,V,necessity,external,shlyapa,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,marla šajə̑štmə̑la .,По-марийски надо говорить.,NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,exper_meta,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"ə̈nžə̈ mägə̈rə̈ manə̑n , mam ə̈štə̈mə̈lä ?","Что надо делать, чтобы не плакал?",NA,NA,mə̑la,,predicate,modal,V,necessity,external,shlyapa,0,yes,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"soskə̑m pumə̑la , n'inzə̈kə̈m .","Соску надо дать, соску.",NA,NA,mə̑la,,predicate,modal,V,necessity,external,shlyapa,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"man'e jä , šipkäm rə̈pšə̈mə̈lä .","Да, это люльку надо качать.",NA,NA,mə̑la,,predicate,modal,V,necessity,external,shlyapa,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,mašinä don kə̑dalmə̑ godə̑m maxan'vlä popazə̑mə̑ kə̑ce kə̑dalat vot objasn'ajə̑mə̑la .,"Когда едешь на машине, какие попадаются, надо объяснить, как проехать.",NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,shlyapa,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,tumajə̑mə̑la iziš .,Надо чуть-чуть думать.,NA,NA,mə̑la,,predicate,modal,V,necessity,external,exper_meta,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"catkə̑də̑n kə̑čə̑mə̑la , catkə̑də̑n kə̑čat ","Крепко надо держать, крепко держат.",NA,NA,mə̑la,,predicate,modal,V,necessity,external,shlyapa,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,ongžə̑ gə̈cə̈n kə̑čə̑mə̑la ?.,За грудки надо держать?,NA,NA,mə̑la,,predicate,modal,V,necessity,external,shlyapa,0,yes,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"obižäjä kə̑də̑ , tə̈də̈m keleš ob'azat'el'nə̑ ... .","Обижает который, его надо обязательно…",NA,NA,keläš,,predicate,modal,V,necessity,external,shlyapa,0,no (yes?),no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"kü jälə̈m obižäjä , tə̈də̈m keleš ob'azat'el'nə̑ ves pačaš ... .","Кто других обижает, его надо обязательно в следующий раз…",NA,NA,keläš,,predicate,modal,V,necessity,external,shlyapa,0,no (yes?),no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,šə̈deštäräš ak kel säj ?.,Сердить не надо наверное?,NA,NA,keläš,,predicate,modal,V,necessity,external,shlyapa,1,yes,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,edemvläm obižäjä ... ik edem … tə̈də̈m ves pačaš ong gə̈cə̈n kə̑čen keleš ... .,Людей обижает... один человек... его еще раз надо взять за грудки…,NA,NA,keläš,,predicate,modal,V,necessity,external,shlyapa,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,ə̈n'e mam ə̈štäš keleš ?.,Тогда что надо делать?,NA,NA,keläš,,predicate,modal,V,necessity,external,shlyapa,0,yes,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"ik šamak don , mam ə̈štäš keleš ?.","Одним словом [скажи], что надо делать?",NA,NA,keläš,,predicate,modal,V,necessity,external,shlyapa,0,yes,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"tə̈štə̈ suf'iksə̑m vele privajə̑mə̑la , i fs'o .","Там суффикс только надо прибавить, и всё.",NA,NA,mə̑la,,predicate,modal,V,necessity,external,exper_meta,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,marə̑ don vätə̈län keleš jə̑və̑rt iktä väre ... .,Мужу и жене надо тайком где-нибудь.,NA,NA,keläš,,predicate,modal,V,necessity,external,shlyapa,0,no (yes?),yes,dat,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,keleš ikväreš ... .,Надо вместе…,NA,NA,keläš,,predicate,modal,V,necessity,external,shlyapa,0,no (yes?),no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,Ну если ... sagarak šagalaš keleš .,Ну если... поближе встать надо.,NA,NA,keläš,,predicate,modal,V,necessity,external,shlyapa,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"kə̑nam edem šieš tə̈ mäčə̈m , i vara tə̈ edemə̈n kə̑rgə̑ž kemlä ti ploš'adkə̑ iktä lieš , značit , m ... opr'ed'el'onnə̑j čerta , čerta jakte .","Когда человек бьет мяч, и потом этому человеку надо добежать, эта площадка одна бывает, значит, м, определенная черта, до
черты.",NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,yes,gen,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"čertaštə̑ , tə̈ čerta jakte kə̑rgə̑ž kemlä , štob ti m'ačikə̈m ves komandə̑ gə̈c edem xvat'en tə̈n' və̈ket ə̈nžə̈ čuč .","На черте, до этой черты надо добежать, чтобы человек из другой команды, схватив этот мячик, в тебя не попал.",NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,impersonal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"ti madə̑š , m'ač ... mäčik don madmə̑la .","Эта игра, с мячиком надо играть.",NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,impersonal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,vara ti šamakə̑m p'er'edajen mimə̈lä .,Потом это слово надо передавать.,NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,impersonal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"vara ik ... čə̑mə̑mlažə̑ , eče ik jala čə̑men kemə̈lä ","Потом в битки еще на одной ноге, пиная, надо идти.",NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,impersonal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,И палкой ... pandə̑ don tə̈də̈m ken vactə̑mla .,И палкой надо их повалить.,NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,impersonal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"vot, ken vactə̑mla .","Вот, надо повалить.",NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,impersonal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"šuenžə̈ koltə̑šə̑ rvezäšə̈žə̈ tə̈ pə̑t'unga - nu , pandə̑m šuen kolten , tə̈ pandə̑lan kə̑rgə̑ž kešäšlə̑k ə̑leš, nälšäšlə̑k ə̑leš .","Сбивающий мальчик эту петюнгу - ну, палку бросишь, за этой палкой надо сбегать, забрать надо ему.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"šuenžə̈ koltə̑šə̑ rvezäšə̈žə̈ tə̈ pə̑t'unga - nu , pandə̑m šuen kolten , tə̈ pandə̑lan kə̑rgə̑ž kešäšlə̑k ə̑leš, nälšäšlə̑k ə̑leš .","Сбивающий мальчик эту петюнгу - ну, палку бросишь, за этой палкой надо сбегать, забрать надо ему.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"a jesl'i iktät ak čučep gə̈n'ə̈ , uže r'iskujə̑mə̑la kə̑rgə̑žmə̑la ə̑lə̑n tengeok, ma, tə̈də̈, ma , pandə̑vlälän mə̈ngeš kə̑rgə̑žmə̑la ə̑lə̑n tə̈škə̈lä , kə̑ce manšaš, pə̑t'unga l'in'im vanžen kemə̈lä .","А если никто не попадет, уже надо рисковать, надо было бежать так же, это, тот, это, за палками обратно надо было бежать туда, как сказать, линию петюнги надо было пересечь.",NA,NA,mə̑la,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,impersonal
